id,name,winrate,pickrate,banrate
266,Aatrox,47.46,4.76,3.09
103,Ahri,53.39,5.23,0.57
84,Akali,46.88,7.79,3.9
12,Alistar,47.51,2.59,0.13
32,Amumu,52.1,2.49,0.11
34,Anivia,51.22,1.37,0.1
1,Annie,47.29,0.99,0.06
22,Ashe,50.73,4.77,0.08
136,Aurelion Sol,51.14,0.65,0.04
268,Azir,45.31,1.18,0.09
432,Bard,52.62,3.24,0.06
53,Blitzcrank,51.05,4.2,0.78
63,Brand,51.32,2.95,0.61
201,Braum,45.85,2.67,0.14
51,Caitlyn,50.42,9.55,1.02
164,Camille,47.97,3.4,0.19
69,Cassiopeia,53.42,1.44,0.15
31,Cho'Gath,49.88,1.81,0.08
42,Corki,46.69,1.13,0.07
122,Darius,49.95,4.11,3.4
131,Diana,51.47,2.39,0.43
36,Dr. Mundo,51.94,2.26,0.14
119,Draven,49.56,4.2,3.15
245,Ekko,51.22,3.74,0.18
60,Elise,52.03,4.54,0.81
28,Evelynn,48.34,3.65,2.33
81,Ezreal,47.13,9.43,0.82
9,Fiddlesticks,49.13,2.76,0.25
114,Fiora,49.03,3.35,0.9
105,Fizz,50.74,3.11,1.19
3,Galio,46.26,0.5,0.02
41,Gangplank,49.43,2.41,0.18
86,Garen,51.47,3.02,0.38
150,Gnar,47.93,1.55,0.07
79,Gragas,49.47,3.75,0.09
104,Graves,51.21,2.9,0.07
120,Hecarim,52.08,4.42,0.98
74,Heimerdinger,51.07,0.58,0.04
420,Illaoi,51.85,1.9,0.88
39,Irelia,44.86,4.67,0.94
427,Ivern,49.02,0.83,0.04
40,Janna,53.1,5.66,0.11
59,Jarvan IV,51.49,7.25,0.43
24,Jax,51.41,6.47,1.95
126,Jayce,46.45,1.46,0.08
202,Jhin,51.09,6.81,0.2
222,Jinx,53.19,9.92,0.41
145,Kai'Sa,49.04,14.2,1.12
429,Kalista,43.46,0.64,0.02
43,Karma,49.36,4.5,0.2
30,Karthus,51.81,2.51,0.67
38,Kassadin,51.63,3.09,0.95
55,Katarina,50.53,3.67,0.98
10,Kayle,47.33,1.56,0.08
141,Kayn,50.03,6.18,1.08
85,Kennen,51.08,2.14,0.29
121,Kha'Zix,52.04,8.35,1.23
203,Kindred,50.2,2.14,0.14
240,Kled,54.4,2.61,1.07
96,Kog'Maw,50.14,0.72,0.01
7,LeBlanc,48.12,3.04,0.89
64,Lee Sin,47.46,11.51,1.34
89,Leona,50.72,4.82,0.4
127,Lissandra,49.3,0.78,0.05
236,Lucian,48.18,7.49,0.24
117,Lulu,50.72,5.22,0.36
99,Lux,50.44,8.86,0.49
54,Malphite,51.22,4.05,0.24
90,Malzahar,52.36,2.29,0.78
57,Maokai,53.28,0.68,0.01
11,Master Yi,51.13,4.09,1.56
21,Miss Fortune,50.73,2.78,0.04
82,Mordekaiser,50.44,3.39,1.99
25,Morgana,50.15,6.79,4.61
267,Nami,52.69,6.71,0.13
75,Nasus,50.43,2.41,0.48
111,Nautilus,50.75,6.07,1.64
518,Neeko,51.1,2.31,0.19
76,Nidalee,48.25,2.52,0.12
56,Nocturne,51.9,2.65,0.17
20,Nunu & Willump,52.51,3.47,0.33
2,Olaf,50.38,1.72,0.1
61,Orianna,49.61,1.92,0.04
516,Ornn,47.14,1.12,0.02
80,Pantheon,47.23,10.54,2.09
78,Poppy,51.22,2.47,0.14
555,Pyke,50.65,8.82,5.14
246,Qiyana,44.85,4.4,2.47
133,Quinn,51.5,0.89,0.07
497,Rakan,50.97,5.36,0.15
33,Rammus,50.79,2.06,0.73
421,Rek'Sai,50.92,1.75,0.19
58,Renekton,47.49,3.77,1.49
107,Rengar,49.74,4.5,1.23
92,Riven,47.71,3.01,0.9
68,Rumble,51.12,1.35,0.05
13,Ryze,47.55,2.29,0.11
113,Sejuani,46.64,2.95,0.26
35,Shaco,49.86,2.33,0.22
98,Shen,50.87,3.9,0.06
102,Shyvana,50.34,1.36,0.04
27,Singed,51.87,1.16,0.04
14,Sion,50.69,1.06,0.02
15,Sivir,49.05,3.34,0.58
72,Skarner,51.84,0.78,0.02
37,Sona,51.47,2.08,0.03
16,Soraka,52.15,3.78,0.16
50,Swain,50.86,2.52,0.09
517,Sylas,46.44,9.24,2.36
134,Syndra,49.76,2.76,0.22
223,Tahm Kench,44.22,0.77,0.16
163,Taliyah,50.91,1.55,0.04
91,Talon,51.59,2.09,0.76
44,Taric,50.92,1.02,0.04
17,Teemo,48.78,2.15,0.37
412,Thresh,50.61,13.22,1.43
18,Tristana,49.18,4.87,0.28
48,Trundle,47.68,0.9,0.02
23,Tryndamere,51.52,2.48,0.54
4,Twisted Fate,48.75,1.77,0.03
29,Twitch,51.26,3.31,0.18
77,Udyr,50.95,2.09,0.2
6,Urgot,51.5,1.47,0.23
110,Varus,48.13,2.23,0.03
67,Vayne,50.86,6.98,1.1
45,Veigar,49.54,2.82,0.18
161,Vel'Koz,50.57,3.48,0.13
254,Vi,53.62,4.21,0.24
112,Viktor,49.56,0.98,0.02
8,Vladimir,50.39,4.64,2.3
106,Volibear,52.21,3.12,0.14
19,Warwick,52.38,2.52,0.1
62,Wukong,51.2,1.26,0.03
498,Xayah,51.11,6.73,0.35
101,Xerath,50.85,3.28,0.14
5,Xin Zhao,50.19,2.47,0.14
157,Yasuo,48.88,8.44,4.58
83,Yorick,50.71,0.97,0.11
350,Yuumi,44.38,6.7,4.05
154,Zac,51.46,2.32,0.09
238,Zed,50.25,4.83,4.24
115,Ziggs,49.63,1.02,0.02
26,Zilean,52.87,2.59,0.16
142,Zoe,49.92,2.02,0.41
143,Zyra,50.91,2.5,0.25
